naics_description,license_count,share_of_total
"Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing",6,0.05
"General Rental Centers",6,0.05
"Couriers and Express Delivery Services",6,0.05
"Used Household and Office Goods Moving",6,0.05
"All Other Travel Arrangement and Reservation Services",6,0.05
"Electronic and Precision Equipment Repair and Maintenance",6,0.05
"Marketing Research and Public Opinion Polling",6,0.05
"Process, Physical Distribution, and Logistics Consulting Services",6,0.05
"Voluntary Health Organizations",6,0.05
"Travel Agencies",6,0.05
"Specialized Freight (except Used Goods) Trucking, Local",6,0.05
"Stationery and Office Supplies Merchant Wholesalers",6,0.05
"Savings Institutions and Other Depository Credit Intermediation",6,0.05
"Other Residential Care Facilities",5,0.04
"Coin-Operated Laundries and Drycleaners",5,0.04
"Other Financial Vehicles",5,0.04
"Meat Retailers",5,0.04
"All Other Automotive Repair and Maintenance",5,0.04
"Plumbing Fixture Fitting and Trim Manufacturing",5,0.04
Locksmiths,5,0.04
"Colleges, Universities, and Professional Schools",5,0.04
"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers",5,0.04
"Offices of Optometrists",5,0.04
"Packaged Frozen Food Merchant Wholesalers",5,0.04
"Framing Contractors",5,0.04
"Other Direct Selling Establishments",5,0.04
"Electroplating, Plating, Polishing, Anodizing, and Coloring",5,0.04
"Exam Preparation and Tutoring",5,0.04
"Human Rights Organizations",5,0.04
"Administration of Education Programs",5,0.04
"Grain and Field Bean Merchant Wholesalers",5,0.04
Museums,5,0.04
"All Other Miscellaneous Food Manufacturing",5,0.04
"Beer, Wine, and Liquor Retailers",5,0.04
"Sound Recording Studios",5,0.04
Distilleries,4,0.03
"Boat Building",4,0.03
"Amusement Arcades",4,0.03
"Surgical Appliance and Supplies Manufacturing",4,0.03
"Cut and Sew Apparel Manufacturing (except Contractors)",4,0.03
"General Freight Trucking, Long-Distance, Truckload",4,0.03
"Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers",4,0.03
"Diet and Weight Reducing Centers",4,0.03
"Other Farm Product Raw Material Merchant Wholesalers",4,0.03
"Wireless Telecommunications Carriers (except Satellite)",4,0.03
"Tax Preparation Services",4,0.03
"Trusts, Estates, and Agency Accounts",4,0.03
"Other Commercial Equipment Merchant Wholesalers",4,0.03
"Other Motion Picture and Video Industries",4,0.03
"Teleproduction and Other Postproduction Services",4,0.03
"Motion Picture Theaters (except Drive-Ins)",4,0.03
"Computer Terminal and Other Computer Peripheral Equipment Manufacturing",4,0.03
"Other Support Activities for Air Transportation",4,0.03
"Footwear and Leather Goods Repair",4,0.03
"Confectionery and Nut Retailers",4,0.03
"Cut and Sew Apparel Contractors",4,0.03
"Boat Dealers",4,0.03
"Consumer Lending",4,0.03
"All Other Miscellaneous Waste Management Services",4,0.03
Wineries,4,0.03
"Real Estate Credit",4,0.03
"Support Activities for Forestry",4,0.03
"Motor Vehicle Supplies and New Parts Merchant Wholesalers",4,0.03
"Other Business Service Centers (including Copy Shops)",4,0.03
"Drafting Services",4,0.03
"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing",4,0.03
"Private Mail Centers",4,0.03
"All Other Miscellaneous Wood Product Manufacturing",4,0.03
"Service Establishment Equipment and Supplies Merchant Wholesalers",4,0.03
"Glass Product Manufacturing Made of Purchased Glass",4,0.03
"Financial Transactions Processing, Reserve, and Clearinghouse Activities",4,0.03
"Blood and Organ Banks",4,0.03
"Tire and Tube Merchant Wholesalers",4,0.03
"All Other Telecommunications",3,0.02
"Blind and Shade Manufacturing",3,0.02
"Sheet Metal Work Manufacturing",3,0.02
"Record Production and Distribution",3,0.02
Breweries,3,0.02
"Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers",3,0.02
"Doll, Toy, and Game Manufacturing",3,0.02
"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",3,0.02
"Railroad Rolling Stock Manufacturing",3,0.02
"Appliance Repair and Maintenance",3,0.02
"Brick, Stone, and Related Construction Material Merchant Wholesalers",3,0.02
"Other Nonhazardous Waste Treatment and Disposal",3,0.02
"Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers",3,0.02
"All Other Miscellaneous Electrical Equipment and Component Manufacturing",3,0.02
"Motorcycle, ATV, and All Other Motor Vehicle Dealers",3,0.02
"All Other Plastics Product Manufacturing",3,0.02
"Apprenticeship Training",3,0.02
"Dental Laboratories",3,0.02
"Pharmaceutical Preparation Manufacturing",3,0.02
"Hardware Retailers",3,0.02
"All Other Miscellaneous Textile Product Mills",3,0.02
"Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing",3,0.02
"Recyclable Material Merchant Wholesalers",3,0.02
"International, Secondary Market, and All Other Nondepository Credit Intermediation",3,0.02
"Shoe Retailers",3,0.02
"Sales Financing",3,0.02
"Office Equipment Merchant Wholesalers",3,0.02
"Testing Laboratories and Services",3,0.02
"Motor Vehicle Body Manufacturing",3,0.02
"Emergency and Other Relief Services",3,0.02
"Household Appliances, Electric Housewares, and Consumer Electronics Merchant Wholesalers",3,0.02
"All Other Outpatient Care Centers",3,0.02
"Ship Building and Repairing",3,0.02
"Medicinal and Botanical Manufacturing",3,0.02
"Metal Service Centers and Other Metal Merchant Wholesalers",3,0.02
"Computer Facilities Management Services",3,0.02
"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",3,0.02
"Claims Adjusting",3,0.02
"Confectionery Manufacturing from Purchased Chocolate",3,0.02
"Other Basic Inorganic Chemical Manufacturing",3,0.02
"Other Community Housing Services",3,0.02
"Other Leather and Allied Product Manufacturing",3,0.02
"Geophysical Surveying and Mapping Services",3,0.02
"All Other Insurance Related Activities",3,0.02
"Other Technical and Trade Schools",3,0.02
